river,date,Q (cms),Q/Q5%,C*** (mg/L),Qs (kg/s),b (m),T (C),sigg,tau*,u* (cm/s),D50 (mm),D90 (mm),vs50/u*,h (m),So,Cm*,C (ppm),Rib,Kred,C5t,Um,Cave**,qs,D50s,625-125,125-25,25-50,scaled effect
atchafalaya,7/14/1960,6596.85942858481,0.504964744992714,134,883.979163430365,393.172813166717,28.8888888888889,1.69784364110062,1.48375492717989,6.56902125370566,0.17967440207257,0.429,0.329425026411547,12.8619323377019,3.42E-05,6.40900401118675E-05,169.838606296449,1.01860304702745,0.674303262289664,0.001307371,,,0.528848942081805,0.789979326039613,,,,0.629769127140042
atchafalaya,6/18/1965,5492.66407358564,0.420442749049727,98,538.281079211393,408.412069491009,33.8888888888889,1.76380713724872,2.01438802192139,6.31973484102261,0.122490281227976,0.234,0.204755426066359,11.246571167327,3.62E-05,4.43698147204171E-05,117.580009009105,0.414093495137604,0.738106310468565,0.000592849,,,0.683791216371275,0.943792642609266,,,,0.676845592276062
atchafalaya,6/4/1965,5379.4132679447,0.411773826388908,57,306.626556272848,405.364218226151,25.5555555555556,1.59170036830002,0.987026517060434,6.0772002348368,0.231166724795373,0.481,0.484598151483992,10.880829015544,3.46E-05,2.71415882175103E-05,71.9252087764023,0.627227160104034,0.811030085315267,0.000418186,,,0.723031733911203,0.89187491033232,,,,0.742169048547196
atchafalaya,12/14/1964,4983.0354482014,0.381432597076041,215,1071.3526213633,387.077110637001,7.77777777777778,1.83073505582698,1.55699703093808,4.58898681628091,0.101178818217771,0.218,0.114462352929519,7.77777777777778,2.76E-05,8.77568464782548E-05,232.555643167375,0.600507643855066,0.597084276225262,0.000316653,,,0.782885103108186,0.993555119805506,,,,0.542222350115323
atchafalaya,2/5/1965,4614.97032986835,0.353258598428379,196,904.534184654196,390.124961901859,5,1.26981255257245,0.889083375899932,4.95963250523828,0.170924199220364,0.235,0.262317822666479,9.05211825662908,2.77E-05,0.000100222531388,265.589708179353,1.56602013560636,0.557407055871604,0.003108853,,,0.319721439338986,0.834734134307429,,,,0.502321464277277
atchafalaya,1/8/1965,3624.02578051011,0.277405525146212,126,456.627248344274,368.790003047851,9.44444444444444,1.38708262032169,0.765111660624244,4.33239661958241,0.151557922730451,0.228,0.273751483102744,8.10728436452301,2.36E-05,5.45865835445393E-05,144.654446393029,1.04475470485884,0.633547380486977,0.000411063,,,0.686563847044818,0.967853849045342,,,,0.55730201109515
atchafalaya,7/16/1965,3624.02578051011,0.277405525146212,43,155.833108561935,390.124961901859,33.8888888888889,1.76380713724872,1.61227347757626,5.65388078010561,0.122490281227976,0.234,0.228869346618205,10.0883876866809,3.23E-05,1.97334896396334E-05,52.2937475450285,0.23071346602254,0.832937105292351,0.00027465,,,0.784451378901633,0.962936835688629,,,,0.732695830165684
atchafalaya,12/31/1964,3539.08767627941,0.270903833150598,159,562.714940528425,365.742151782993,9.44444444444444,1.58299062851748,0.923305420691938,4.29503721892815,0.123434205584186,0.242,0.195341729823095,8.32063395306309,2.26E-05,6.65972374601066E-05,176.482679269283,0.949788154220331,0.58808292367325,0.000406551,,,0.692896680042259,0.984247204166537,,,,0.516083630303331
atchafalaya,5/12/1964,3482.46227345893,0.266569371820188,32,111.438792750686,350.502895458702,22.2222222222222,1.48209606880228,0.6487623403339,4.23852180043088,0.171076461602777,0.315,0.427979395980833,9.29594635781774,1.97E-05,1.20779279629069E-05,32.0065091017033,0.432945285204929,0.83587963856608,0.000132125,,,0.835332171092886,0.984662635863649,,,,0.732360261558645
atchafalaya,10/26/1961,3397.52416922823,0.260067679824574,42,142.696015107586,373.056994818653,18.8888888888889,1.62264095025721,0.739509895431453,5.47882502192279,0.250771351056829,0.463,0.547197617738092,10.5150868637611,2.91E-05,2.48726501589183E-05,65.9125229211336,0.7717154848027,0.818084833082384,0.001511904,,,0.397897616451463,0.677699816780472,,,,0.715001543667946
