date,meandeltarad,meandeltaraderr,lobeint,lobeinterr
01-Jan-1855,50700.3538699869,10000,NaN,14142.135623731
01-Jan-1955,72072.9110559456,10000,NaN,14142.135623731
18-Nov-1973,82618.5840802537,2000,0,2828.42712474619
06-Dec-1973,80134.6716682698,2000,NaN,2828.42712474619
11-Jan-1974,80119.0600393381,2000,NaN,2828.42712474619
04-Mar-1976,81906.1943680066,2000,NaN,2828.42712474619
02-Jun-1976,82001.0235422817,2000,NaN,2828.42712474619
31-Aug-1976,80720.9129618001,2000,2909.99186046151,2828.42712474619
29-Nov-1976,81870.0552897657,2000,4019.99186046162,2828.42712474619
17-Dec-1976,82025.6586878944,2000,5009.99186046153,2828.42712474619
04-Jan-1977,82036.5862553335,2000,4439.99186046157,2828.42712474619
10-May-1977,81500.1151438649,2000,5609.99186046155,2828.42712474619
15-Jun-1977,81430.9269036802,2000,510.000000000059,2828.42712474619
21-Jul-1977,81357.5272818371,2000,3839.99186046155,2828.42712474619
01-Oct-1977,80658.0914610343,2000,5219.9918604616,2828.42712474619
17-Jan-1978,81667.5039567818,2000,5249.99186046154,2828.42712474619
04-Feb-1978,81323.7140749494,2000,5129.99186046159,2828.42712474619
12-Mar-1978,81375.0787007165,2000,5189.9918604616,2828.42712474619
17-Apr-1978,80816.1516929352,2000,5789.99186046156,2828.42712474619
14-May-1978,80900.3691032491,2000,5939.99186046156,2828.42712474619
18-May-1979,81679.6521161537,2000,6209.99186046163,2828.42712474619
11-Jul-1979,82551.6937239055,2000,5579.99186046161,2828.42712474619
09-Oct-1979,81126.3562910959,2000,5699.99186046155,2828.42712474619
27-Oct-1979,81112.1789599755,2000,5729.99186046161,2828.42712474619
14-Jul-1980,82535.3296617165,2000,7049.9918604616,2828.42712474619
23-Jul-1980,82638.9057143466,2000,9149.86075612754,2828.42712474619
21-Oct-1980,81804.1700119722,2000,9539.86075612766,2828.42712474619
06-Feb-1981,81254.3765335543,2000,9149.86075612754,2828.42712474619
14-Mar-1981,81252.365195813,2000,9029.86075612762,2828.42712474619
07-May-1981,81461.9670378916,2000,8729.86075612763,2828.42712474619
12-Jun-1981,81643.8068603894,2000,10199.8607561276,2828.42712474619
30-Jun-1981,80842.7873011507,2000,8189.86075612757,2828.42712474619
