979,329,142,1030,143,265,330,559,385,955,1250,50.6,55.5,187,971,156,1.31,56.5,736,50.2,0,0
1140,318,145,941,137,333,327,402,383,755,1200,56.7,57.6,183,1310,123,2,36,891,8.74,0,0
1240,299,150,839,140,488,375,457,360,620,1060,69,61,160,1330,121,1.27,9.86,921,0.97,0,0
1220,268,142,756,167,731,376,509,349,619,601,80.8,67.1,116,1270,114,0.74,0.32,992,0,0,0
1230,225,134,937,214,765,383,350,363,615,622,76.3,82.9,315,1260,111,0.8,0,693,0,0,0
1250,214,153,916,254,625,378,511,326,515,723,71.7,87,600,1540,89.6,0.92,0,751,0,0,0
1230,308,171,682,295,404,378,548,282,445,529,70.4,91.7,747,2030,63.7,23.8,0,689,0,0,0
1220,362,177,695,290,322,460,457,229,569,526,69.7,65.6,965,1980,44.7,121,0,683,0,0,0
1200,363,190,644,331,286,602,466,251,557,465,66.3,58.8,945,1690,25.1,90.5,0,557,0,0,0
1150,336,180,583,311,216,1240,452,313,530,346,61.2,51.8,878,1360,16.7,21,0,715,0,0,0
1060,404,171,580,350,144,1560,385,270,618,312,56.7,55.7,488,1410,64.6,2.81,0,1110,0,0,0
842,470,163,503,350,150,1530,466,379,594,296,63,54.1,714,1230,143,1.25,0,1040,0,0,0
1120,502,168,883,394,145,1440,304,537,656,282,63.8,44.1,587,833,454,0.87,0,872,0,0,0
1090,502,171,871,520,156,1380,213,635,688,274,64.8,40.8,655,545,582,0.55,0,641,0,0,0
827,465,214,775,554,176,1160,269,621,1110,252,66.5,40.1,647,570,723,0.37,0,623,0,0,0
1010,490,206,743,574,166,495,347,648,1130,259,59.6,38.5,521,519,762,0.038,0,513,0,0,0
963,488,208,820,526,160,467,329,651,1260,237,48.4,38.2,783,582,813,0.41,0,599,0,0,49.8
929,454,206,720,505,155,355,287,623,1660,224,56.6,37.8,440,693,816,2.01,0,552,0,0,78
1030,421,198,873,597,149,479,259,523,1720,224,49.1,36.5,468,651,554,18.1,0,601,0,0,33.5
1000,403,185,882,492,168,374,192,543,1540,234,51.1,35,470,471,328,51.2,20.6,591,0,0,64.4
998,304,167,743,360,186,317,155,422,1440,249,47.7,36.8,450,251,269,81.7,108,305,0,0,122
652,277,148,753,397,174,309,143,906,1390,246,45,41,439,176,335,81.8,117,271,0,0,326
619,221,133,627,621,205,331,141,469,1400,249,42.9,47.4,481,83.6,344,73.4,122,283,0,0,258
657,210,158,1170,586,360,271,134,537,1360,253,39.2,50.2,367,27.1,280,99.6,203,344,0,0,16
660,286,161,983,646,259,199,109,388,1430,250,42,52.1,174,40.9,303,92.2,247,331,0,0,1.713
667,402,135,936,636,479,134,105,279,1420,234,49.4,53.6,103,62.5,305,98.2,266,758,0,0,0
652,452,121,724,722,511,135,150,333,1290,265,46.5,57.8,143,68.5,385,136,339,427,0,0,40.9
646,588,123,712,683,327,156,141,500,1180,286,48.4,66.1,190,203,722,119,363,322,0,0,463
614,558,118,562,558,272,126,126,514,891,197,55.6,74.1,601,317,502,62.9,366,301,0,0,353
503,600,112,534,544,213,120,121,686,572,161,56.1,71.8,389,590,307,15.5,379,283,0,19.6,175
590,696,105,755,387,142,90.1,118,714,481,153,54.8,67.4,193,603,243,14.7,384,172,0,27.3,232
560,678,108,534,385,108,67.8,112,562,464,161,48.2,65.6,112,494,274,15.5,477,43.1,0,6.24,219
526,757,105,611,253,72.1,74.5,94.1,406,431,155,38.9,62.6,69.4,586,238,56.7,430,2.91,0,2.92,265
569,589,187,518,234,58.9,67,75.5,241,313,151,32.9,57.7,34.7,493,192,143,322,0.36,0,67.3,244
636,624,210,528,167,50.8,61.4,67,214,218,151,36.2,59,1.02,972,162,171,295,0,0,120,393
622,338,200,690,120,55.3,72.6,63,200,177,151,52.1,55.5,0,875,157,135,513,0,0,109,550
589,275,179,763,117,57,142,59.3,165,192,167,101,50.8,0,987,78.4,66.4,364,0,0,37.5,677
589,286,168,954,133,59,157,49,148,163,403,131,46.5,0,1080,59.9,8.85,381,0,0,0.42,674
860,437,155,1030,207,56.8,118,60.5,180,137,697,109,45.3,7.99,1020,50,0.23,292,0,0,3.92,623
921,326,130,1070,360,53.3,69.3,59.3,174,131,807,90.4,54.8,23.3,1020,45.4,0.61,362,0,15.7,15.1,677
1050,508,118,870,512,49.5,55.1,60.4,177,123,386,82.7,75.3,33.9,1020,49.1,1.97,402,0,80.3,29.5,773
823,452,108,979,299,42,108,66.7,190,112,260,51.9,88.7,35.9,1140,37.9,11.5,541,0,80.3,5.17,723
830,351,100,766,311,37.3,190,79.8,182,73.7,171,41.7,108,47.1,1090,39.9,141,601,0,25.4,0.39,586
852,280,69.6,804,331,48.3,295,73.3,159,53.6,162,40.5,119,43.9,832,47.3,209,377,0,26.1,0.012,334
808,308,61.3,985,355,54.3,203,66,134,121,164,40.3,122,25.7,783,89.2,226,202,91.3,9.36,0,218
822,316,54,910,566,48.3,131,76.3,134,144,160,40,103,14,424,179,202,113,107,5.57,0,229
754,488,47.5,1180,634,38.3,113,44.4,360,139,325,41.8,95,2.65,194,119,208,33.4,147,54.5,0.12,121
667,268,45.6,1010,802,33.5,95,40.3,497,118,451,45.2,104,2.55,203,152,173,1.62,187,59,0.43,33.9
794,276,36.8,953,649,41,161,46.6,438,102,343,46.4,76.6,3.48,154,125,116,18.4,244,49.5,0.15,41.2
776,528,34.2,995,707,50.5,313,54.8,399,80.6,388,54,60.6,10.9,103,311,44.5,41.5,197,8.29,0,92.2
806,354,24.4,1050,570,69.4,257,52.2,322,60,346,62.2,52.3,43.8,90.1,429,44.6,32.7,242,26.5,0,65.7
766,392,13,753,545,85.1,255,43.7,491,51.5,450,68.2,42,106,49.5,602,43.6,11.9,649,11.6,0,54.9
762,412,6.45,618,275,142,258,43.4,650,79.8,379,69.3,35.6,78.9,23.6,574,20,0.51,676,22.5,0,54.1
818,398,6.45,700,247,158,241,56.8,665,93.3,434,117,38.1,60.5,11.7,594,11.6,0,981,121,0,16.3
848,834,5.07,657,284,136,222,149,621,102,263,161,45.9,56.8,24.6,689,2.3,0,1260,296,0,0.9
930,766,2.7,500,244,104,144,192,631,121,182,141,47.5,105,154,920,3.92,0,1340,236,0,3.89
869,740,5.98,305,274,119,105,273,698,110,171,88.2,29.7,174,390,938,2.87,0,1220,79.3,0,6.388
935,800,70,492,260,160,68.5,487,564,141,168,67.2,26.5,227,386,1010,1.15,0,1220,144,0,0
957,844,79.8,493,278,150,109,580,638,161,192,116,25,488,422,1020,0.16,0,1120,159,0,0
809,930,56.8,513,290,111,143,566,598,143,241,121,31.6,582,345,948,0,0,1130,126,0,0
451,1000,53.5,427,221,102,125,518,626,150,239,100,30,559,265,986,0,0,1100,100,0,0
333,913,50,451,165,97.5,94.6,661,514,121,235,89.4,27.1,437,498,1060,0,0,1090,67.4,0,21.3
478,800,41.7,385,114,89.8,55.6,638,445,170,230,68,25.8,509,418,984,0,0,1210,4.2,0,18.2
409,822,33.7,418,72,67.5,52.3,830,334,134,235,60.6,27.7,510,775,846,0,33.3,1130,0,28.6,1.843
388,857,28,324,45.2,77.8,101,1000,494,114,207,58.7,29.6,525,766,573,0,273,1030,0,18.8,0
249,857,26.3,276,16.7,281,147,750,645,162,195,70.3,26.2,588,858,273,0,222,858,0,20.6,0
269,822,23,228,9.05,150,467,700,596,300,140,94,25.8,700,1060,222,0,246,817,0,23.4,0
287,736,16.8,363,9.05,146,411,796,523,573,106,69.7,34.8,829,1150,317,0,125,623,0,4.45,0
216,801,11,327,5.65,138,214,796,622,675,85.9,43.7,35.4,800,1210,302,0.17,117,637,0,0.12,0
164,398,16.5,350,2.1,95.7,119,651,507,783,75.6,31.2,38.8,554,1170,447,64.2,78.1,463,0,43.2,0
