"mmdd","dd","Qw","Qw_max","Qw_min","Qw_std","Qs","Qs_max","Qs_min","Qs_std","Qs_m","Qs_m_max","Qs_m_min","Qs_m_std","Qw_m.avg","Qs_m_m.avg"
"25",125,24,504.8170731707,1190,50.5,259.2357941165,1.2023251463,5.85,0.033,1.4642744928,0.453707602377358,2.20754716981132,0.0124528301886792,0.552556412377359,495.800348432057,0.48370545
"26",126,25,506.5073170732,1190,45.5,267.4685396362,1.4913619512,13.3,0.03,2.6007128268,0.562778094792453,5.0188679245283,0.0113207547169811,0.981401066716981,495.410104529614,0.47664220103504
"27",127,26,485.3756097561,1200,43.2,235.6456500559,1.1832083415,11.8,0.025,1.9803981665,0.446493713773585,4.45283018867925,0.00943396226415094,0.747320062830189,498.501045296157,0.476381567283019
"28",128,27,491.3536585366,1240,44,240.9085470646,1.2084741707,5.61,0.018,1.5681319597,0.456027988943396,2.11698113207547,0.00679245283018868,0.591747909320755,507.006271777,0.493436678716981
"29",129,28,505.6390243902,1030,43.2,242.3992830827,1.2540743171,6.71,0.015,1.6347912426,0.473235591358491,2.53207547169811,0.00566037735849057,0.616902355698113,507.293031358886,0.508799835644205
"30",130,29,507.3707317073,1045,40.2,255.9008892559,1.3791116341,13.9,0.009,2.403582497,0.520419484566038,5.24528301886792,0.00339622641509434,0.907012263018868,506.182229965157,0.518094369865229
"31",131,30,547.9804878049,2260,38,386.3534335421,1.4346948293,13.3,0.008,2.4054559451,0.541394275207547,5.0188679245283,0.0030188679245283,0.907719224566038,507.926829268286,0.533739571363881
"32",201,31,506.8243902439,1220,38.8,275.7741365506,1.4873117073,10.5,0.014,2.2713905253,0.561249700867924,3.9622641509434,0.00528301886792453,0.857128500113208,510.165505226471,0.563454674911051
"33",202,32,498.7317073171,1110,44,261.6918057936,1.663775561,20,0.011,3.3175332039,0.627839834339623,7.54716981132075,0.00415094339622642,1.25189932222642,505.692682926829,0.572235294199461
"34",203,33,497.587804878,1150,52.8,277.5499938706,1.4734268293,13.6,0.012,2.6723295595,0.556010124264151,5.13207547169811,0.00452830188679245,1.00842624886792,500.377351916371,0.558294518447439
"35",204,34,507.0243902439,2340,46.8,380.5314131451,1.7596893415,20.9898,0.014,3.7400136462,0.664033713773585,7.92067924528302,0.00528301886792453,1.41132590422642,489.959581881529,0.543834885283019
"36",205,35,474.3292682927,1170,35.5,260.0874759037,1.4169548049,14,0.01,2.6559073405,0.534699926377359,5.28301886792453,0.00377358490566038,1.00222918509434,484.2400696864,0.522413058975741
"37",206,36,470.1634146341,949,27.7,243.4472835709,1.1205102439,7.58251,0.006,1.6325497758,0.422834054301887,2.86132452830189,0.00226415094339623,0.616056519169811,478.4526132404,0.492997440016172
"38",207,37,475.056097561,1330,24.3,272.01807665,1.1664686341,7.0357,0.007,1.5967115412,0.440176843056604,2.65498113207547,0.00264150943396226,0.602532657056604,473.000348432043,0.477437881800539
"39",208,38,466.787804878,1110,22.3,258.5053308881,1.0899368293,6.33,0.006,1.5402739514,0.411296916716981,2.38867924528302,0.00226415094339623,0.581235453358491,467.018815331,0.444923839331536
"40",209,39,458.2195121951,1040,21,237.1225961602,1.1181158293,7.53,0.005,1.6003592191,0.421930501622642,2.84150943396226,0.00188679245283019,0.603909139283019,466.454355400686,0.435464136485175
"41",210,40,459.4219512195,971,20.3,234.0549289293,1.1847970244,6.96,0.005,1.6155190865,0.447093216754717,2.62641509433962,0.00188679245283019,0.609629843962264,468.432404181186,0.456199717315364
"42",211,41,465.1536585366,938,18.3,237.1789894758,1.1565538537,7.62,0.005,1.4256783295,0.436435416490566,2.87547169811321,0.00188679245283019,0.53799182245283,469.583972125429,0.46336421406469
"43",212,42,470.3780487805,907,16.5,243.405597216,1.2414773171,8.53,0.004,1.8062237196,0.46848200645283,3.2188679245283,0.00150943396226415,0.68159385645283,470.664808362371,0.477787585309973
"44",213,43,484.0097560976,1130,15.4,264.4307544565,1.5051552683,14.9,0.003,2.6698441467,0.567983120113208,5.62264150943396,0.00113207547169811,1.00748835724528,470.713937282229,0.504503983967655
"45",214,44,483.1170731707,1090,13.3,264.1438896723,1.2993700488,9.35,0.003,1.8367865744,0.490328320301887,3.52830188679245,0.00113207547169811,0.693127009207547,468.350174216029,0.526186781940701
"46",215,45,474.3536585366,1170,12.5,266.4813840567,1.3574903659,7.66,0.002,1.7192952096,0.512260515433962,2.89056603773585,0.000754716981132075,0.648790645132076,465.1,0.55125602393531
"47",216,46,458.5634146341,1188,12.8,262.4213746592,1.6137050244,14.7,0.003,2.9155183619,0.608945292226415,5.54716981132075,0.00113207547169811,1.10019560826415,464.137282229957,0.585293767671159
"48",217,47,442.8756097561,1100,12.5,264.9067182807,1.5870129268,19.4,0.003,3.2177220208,0.598872802566038,7.32075471698113,0.00113207547169811,1.21423472483019,459.717421602771,0.587488171719676
"49",218,48,442.4024390244,1080,11,264.9260089986,1.6215882927,16.1,0.003,3.0416912681,0.61192011045283,6.07547169811321,0.00113207547169811,1.14780802569811,456.074216027857,0.618504478339623
"50",219,49,463.6390243902,1190,9.4,299.4843008223,1.8728774634,14.9,0.003,3.285841411,0.706746212603774,5.62264150943396,0.00113207547169811,1.23994015509434,452.745644599286,0.642825620932615
"51",220,50,453.0707317073,1200,7.2,283.7998804122,1.5458614634,9.47,0.002,2.133338904,0.58334394845283,3.57358490566038,0.000754716981132075,0.805033548679245,450.736585365843,0.663898528695418
"52",221,51,457.6146341463,1070,6.1,286.2257994669,1.8747225366,18.1,0.003,3.6451857561,0.707442466641509,6.83018867924528,0.00113207547169811,1.37554179475472,452.012543554,0.705010831633423
"53",222,52,451.0536585366,1200,7.8,312.3422610675,1.808647561,16,0.004,3.2813403802,0.682508513584906,6.0377358490566,0.00150943396226415,1.23824165290566,455.061672473857,0.745497223061995
"54",223,53,444.5,1290,25,318.3665528915,2.0046074634,21.3,0.005,4.1863023299,0.756455646566038,8.0377358490566,0.00188679245283019,1.57973672826415,459.893031358886,0.777724872792453
"55",224,54,451.8073170732,1520,23.4,336.2695900541,2.3496461463,25.8,0.003,4.8719851496,0.886658923132076,9.73584905660377,0.00113207547169811,1.83848496211321,466.506620209057,0.818593007698113
"56",225,55,463.7463414634,1360,23.7,332.2697090449,2.3726108537,21.1,0.003,4.0665878283,0.89532485045283,7.9622641509434,0.00113207547169811,1.53456144464151,476.524738675957,0.88097295115903
"57",226,56,497.4585365854,1320,18.5,364.5874545124,2.4707003659,16.1,0.003,4.1535978486,0.932339760716981,6.07547169811321,0.00113207547169811,1.56739541456604,499.8337979094,1.03743689172507
