timestep,time,crateridx,diameter,ref_elev,location_x,location_y,p_SLR,p_f_bedload,p_crater_accumulation_duration,p_crater_accumulation_number,p_crater_size,log_ID,distance_inlet,interbedded,rim_frac,ejecta_frac,rim_frac_sfc,rim_degree_cov,rim_degree_consec,rim_degree_consec_aboveref,rim_degree_consec_top
20,213333.3,37,10.7,-6.0,7690.0,3470.0,1e-08,0.5,100.0,200.0,-1.0,0,3796.8671296214725,False,1.0,,0.125,,360.0,360.0,
20,213333.3,38,10.3,-6.0,1630.0,4830.0,1e-08,0.5,100.0,200.0,-1.0,0,6440.885032353861,False,0.75,,0.125,,135.0,360.0,
23,245333.3,39,12.5,-6.0,8810.0,710.0,1e-08,0.5,100.0,200.0,-1.0,0,2899.275771636772,False,1.0,,0.125,,360.0,360.0,
24,256000.0,40,12.2,-6.0,9330.0,2850.0,1e-08,0.5,100.0,200.0,-1.0,0,4346.883941399862,False,1.0,,0.0,,360.0,360.0,
24,256000.0,41,11.2,-6.0,950.0,4710.0,1e-08,0.5,100.0,200.0,-1.0,0,6836.504955019048,False,1.0,,0.0,,360.0,360.0,
25,266666.7,42,10.1,-6.0,7810.0,5310.0,1e-08,0.5,100.0,200.0,-1.0,0,5540.920501144192,False,0.75,,0.125,,180.0,360.0,
25,266666.7,43,10.2,-6.0,6510.0,730.0,1e-08,0.5,100.0,200.0,-1.0,0,838.6894538504702,False,0.0,,0.0,,0.0,0.0,
27,288000.0,44,11.1,-6.0,1970.0,3930.0,1e-08,0.5,100.0,200.0,-1.0,0,5559.010703353611,False,1.0,,0.125,,360.0,360.0,
27,288000.0,45,10.4,-6.0,10610.0,5690.0,1e-08,0.5,100.0,200.0,-1.0,0,7273.857298572746,False,1.0,,0.0,,360.0,360.0,
27,288000.0,46,11.7,-6.0,6970.0,2770.0,1e-08,0.5,100.0,200.0,-1.0,0,2866.3914596579443,False,0.875,,0.0,,315.0,360.0,
28,298666.7,47,15.9,-6.0,3170.0,470.0,1e-08,0.5,100.0,200.0,-1.0,0,2836.934965768514,False,1.0,1.0,0.0,,360.0,360.0,
29,309333.3,48,16.6,-6.0,1450.0,1850.0,1e-08,0.5,100.0,200.0,-1.0,0,4863.517245780054,False,0.5,0.8333333333333334,0.25,,135.0,240.0,
29,309333.3,49,13.5,-6.0,6850.0,4190.0,1e-08,0.5,100.0,200.0,-1.0,0,4201.071291944472,False,0.875,0.75,0.0,,315.0,360.0,
30,320000.0,50,12.8,-6.0,9750.0,2830.0,1e-08,0.5,100.0,200.0,-1.0,0,4666.411897807565,False,1.0,,0.0,,360.0,360.0,
30,320000.0,51,11.5,-6.0,2190.0,4970.0,1e-08,0.5,100.0,200.0,-1.0,0,6186.776220294379,False,0.875,,0.0,,315.0,360.0,
32,341333.3,52,13.6,-6.0,7930.0,5990.0,1e-08,0.5,100.0,200.0,-1.0,0,6223.391358415442,False,1.0,1.0,0.0,,225.0,240.0,
32,341333.3,53,11.3,-6.0,4990.0,1510.0,1e-08,0.5,100.0,200.0,-1.0,0,1739.2527130926087,False,0.75,,0.0,,270.0,240.0,
34,362666.7,54,16.7,-6.0,5870.0,930.0,1e-08,0.5,100.0,200.0,-1.0,0,857.0880934886449,False,0.0,0.08333333333333333,0.0,,0.0,0.0,
34,362666.7,55,15.2,-6.0,2830.0,3890.0,1e-08,0.5,100.0,200.0,-1.0,0,4943.541240851541,False,1.0,1.0,0.125,,360.0,360.0,
35,373333.3,56,12.6,-5.9,10090.0,230.0,1e-08,0.5,100.0,200.0,-1.0,0,4112.736315398788,False,1.0,,0.0,,360.0,360.0,
36,384000.0,57,13.1,-6.0,11250.0,290.0,1e-08,0.5,100.0,200.0,-1.0,0,5274.182401093083,False,0.875,,0.0,,315.0,360.0,
36,384000.0,58,12.9,-6.0,5010.0,1710.0,1e-08,0.5,100.0,200.0,-1.0,0,1896.7867565965341,False,0.0,,0.0,,0.0,0.0,
36,384000.0,59,16.5,-6.0,6750.0,3930.0,1e-08,0.5,100.0,200.0,-1.0,0,3926.2450254664445,False,0.75,0.75,0.0,,180.0,360.0,
36,384000.0,60,11.4,-6.0,7730.0,1830.0,1e-08,0.5,100.0,200.0,-1.0,0,2474.8737341529163,False,0.25,,0.0,,90.0,0.0,
36,384000.0,61,17.2,-6.0,1770.0,4430.0,1e-08,0.5,100.0,200.0,-1.0,0,6053.6435309654635,False,1.0,0.9166666666666666,0.0,,360.0,360.0,
37,394666.7,62,11.7,-6.0,9130.0,5410.0,1e-08,0.5,100.0,200.0,-1.0,0,6191.235740948651,False,1.0,,0.0,,360.0,360.0,
37,394666.7,63,12.3,-6.0,10850.0,3550.0,1e-08,0.5,100.0,200.0,-1.0,0,5979.7826047440885,False,0.875,,0.125,,315.0,360.0,
37,394666.7,64,14.0,-6.0,7590.0,3910.0,1e-08,0.5,100.0,200.0,-1.0,0,4154.635964798841,False,0.875,0.5,0.125,,315.0,360.0,
38,405333.3,65,10.3,-6.0,9070.0,5950.0,1e-08,0.5,100.0,200.0,-1.0,0,6633.626459185051,False,1.0,,0.0,,360.0,360.0,
38,405333.3,66,23.9,-5.9,210.0,170.0,1e-08,0.5,100.0,200.0,-1.0,0,5770.70186372507,False,1.0,0.8928571428571429,0.875,,360.0,360.0,
39,416000.0,67,11.4,-6.0,1950.0,2610.0,1e-08,0.5,100.0,200.0,-1.0,0,4758.340046696957,False,1.0,,0.0,,360.0,360.0,
40,426666.7,68,19.8,-6.0,10510.0,4810.0,1e-08,0.5,100.0,200.0,-1.0,0,6549.335844190616,False,0.875,0.875,0.5,,315.0,360.0,
40,426666.7,69,13.4,-6.0,10910.0,2770.0,1e-08,0.5,100.0,200.0,-1.0,0,5616.137462705128,False,0.875,0.75,0.125,,315.0,360.0,
40,426666.7,70,10.1,-6.0,9490.0,1170.0,1e-08,0.5,100.0,200.0,-1.0,0,3675.35032343857,False,0.875,,0.125,,315.0,360.0,
41,437333.3,71,10.4,-6.0,5690.0,4470.0,1e-08,0.5,100.0,200.0,-1.0,0,4399.568160626677,False,1.0,,0.0,,360.0,360.0,
41,437333.3,72,10.7,-6.0,6330.0,2130.0,1e-08,0.5,100.0,200.0,-1.0,0,2079.663434308542,False,0.0,,0.0,,0.0,0.0,
42,448000.0,73,22.5,-6.0,10650.0,3430.0,1e-08,0.5,100.0,200.0,-1.0,0,5747.295015918358,False,0.875,0.7857142857142857,0.625,,315.0,360.0,
42,448000.0,74,10.3,-6.0,5030.0,4790.0,1e-08,0.5,100.0,200.0,-1.0,0,4804.851714673409,False,0.875,,0.0,,315.0,360.0,
44,469333.3,75,11.8,-6.0,8310.0,5750.0,1e-08,0.5,100.0,200.0,-1.0,0,6130.073409022114,False,1.0,,0.125,,360.0,360.0,
45,480000.0,76,10.3,-6.0,6530.0,4870.0,1e-08,0.5,100.0,200.0,-1.0,0,4821.472804029906,False,1.0,,0.0,,360.0,360.0,
45,480000.0,77,15.1,-6.0,950.0,5430.0,1e-08,0.5,100.0,200.0,-1.0,0,7343.25540887691,False,0.875,1.0,0.25,,315.0,360.0,
46,490666.7,78,23.2,-6.0,630.0,4590.0,1e-08,0.5,100.0,200.0,-1.0,0,6997.328061481754,False,1.0,0.8928571428571429,0.625,,360.0,360.0,
46,490666.7,79,12.3,-6.0,870.0,3910.0,1e-08,0.5,100.0,200.0,-1.0,0,6386.000313185084,False,1.0,,0.0,,360.0,360.0,
