timestep,time,crateridx,diameter,ref_elev,location_x,location_y,p_SLR,p_f_bedload,p_crater_accumulation_duration,p_crater_accumulation_number,p_crater_size,log_ID,distance_inlet,interbedded,rim_frac,ejecta_frac,rim_frac_sfc,rim_degree_cov,rim_degree_consec,rim_degree_consec_aboveref,rim_degree_consec_top
829,8842666.7,28,236.8,10.4,10130.0,2510.0,1e-08,0.8,1.0,250.0,-2.0,0,4809.095549061175,False,0.6818181818181818,0.9365037194473964,0.6515151515151515,0.8055555555555556,220.0,220.0,
839,8949333.3,29,153.8,-6.0,10930.0,3990.0,1e-08,0.8,1.0,250.0,-2.0,0,6307.979074156794,False,1.0,0.9993638676844784,0.48333333333333334,1.0,360.0,360.0,
874,9322666.7,30,250.0,-5.9,9790.0,1230.0,1e-08,0.8,1.0,250.0,-2.0,0,3979.7738629223645,False,0.9236111111111112,0.9361244019138756,0.006944444444444444,0.9736842105263158,350.52631578947364,350.52631578947364,
910,9706666.7,31,255.2,-6.0,11550.0,1890.0,1e-08,0.8,1.0,250.0,-2.0,0,5856.705558588377,False,0.9864864864864865,0.9566284779050737,0.0,1.0,359.99999999999994,359.99999999999994,
919,9802666.7,32,97.9,-6.0,5710.0,2270.0,1e-08,0.8,1.0,250.0,-2.0,0,2206.581065811995,False,1.0,0.789308176100629,0.08333333333333333,1.0,360.0,360.0,
972,10368000.0,33,268.0,-0.9,4910.0,930.0,1e-08,0.8,1.0,250.0,-2.0,0,1366.5284482951681,True,0.9418604651162791,0.7207602339181286,0.0872093023255814,1.0,360.0,360.0,
1009,10762666.7,34,273.3,-5.8,10310.0,3390.0,1e-08,0.8,1.0,250.0,-2.0,0,5450.229352972222,False,1.0,0.9487489911218725,0.7616279069767442,1.0,360.0,360.0,
1022,10901333.3,35,143.3,-5.9,8190.0,4110.0,1e-08,0.8,1.0,250.0,-2.0,0,4596.194077712559,False,1.0,0.9905523255813954,1.0,1.0,360.0,360.0,
1086,11584000.0,36,158.0,-6.0,4870.0,4790.0,1e-08,0.8,1.0,250.0,-2.0,0,4839.028828184432,False,1.0,0.944578313253012,0.0,1.0,360.0,360.0,
1109,11829333.3,37,95.9,-6.0,11190.0,5230.0,1e-08,0.8,1.0,250.0,-2.0,0,7325.749108453005,False,1.0,1.0,1.0,1.0,360.0,360.0,
1136,12117333.3,38,106.0,-6.0,8670.0,3350.0,1e-08,0.8,1.0,250.0,-2.0,0,4234.264989345848,False,1.0,1.0,0.9583333333333334,1.0,360.0,360.0,
1146,12224000.0,39,34.2,-6.0,10550.0,390.0,1e-08,0.8,1.0,250.0,-2.0,0,4580.502155877672,False,1.0,1.0,0.0,,360.0,360.0,
1162,12394666.7,40,39.2,-6.0,9390.0,3290.0,1e-08,0.8,1.0,250.0,-2.0,0,4683.182678478387,False,1.0,1.0,1.0,,360.0,288.0,
1178,12565333.3,41,259.8,-6.0,3590.0,5390.0,1e-08,0.8,1.0,250.0,-2.0,0,5823.074789147054,False,1.0,0.9810695693327023,0.6578947368421053,1.0,359.99999999999994,359.99999999999994,
1201,12810666.7,42,221.3,0.6,4790.0,1210.0,1e-08,0.8,1.0,250.0,-2.0,0,1641.0362579784762,True,0.9568965517241379,0.7357798165137615,0.09482758620689655,1.0,360.0,360.0,
1218,12992000.0,43,42.8,-0.6,4710.0,430.0,1e-08,0.8,1.0,250.0,-2.0,0,1317.3458164050926,True,1.0,0.8671875,0.5,,360.0,288.0,
1282,13674666.7,44,222.4,-6.0,8410.0,510.0,1e-08,0.8,1.0,250.0,-2.0,0,2467.7520134729907,False,1.0,0.9207792207792208,0.39285714285714285,1.0,360.0,360.0,
1288,13738666.7,45,183.9,-6.0,130.0,3790.0,1e-08,0.8,1.0,250.0,-2.0,0,6927.236101072346,False,1.0,0.9752650176678446,1.0,1.0,360.0,360.0,
1294,13802666.7,46,67.9,-4.7,11190.0,1750.0,1e-08,0.8,1.0,250.0,-2.0,0,5471.105921109552,False,1.0,0.993421052631579,0.0,1.0,360.0,360.0,
1330,14186666.7,47,137.5,-5.8,11470.0,1190.0,1e-08,0.8,1.0,250.0,-2.0,0,5601.0891797935155,False,0.9,0.9228971962616822,0.025,0.9,324.0,324.0,
1333,14218666.7,48,177.6,-6.0,3630.0,890.0,1e-08,0.8,1.0,250.0,-2.0,0,2485.678981686895,False,1.0,0.9431818181818182,0.09210526315789473,1.0,360.0,360.0,
1352,14421333.3,49,94.2,-6.0,11370.0,3770.0,1e-08,0.8,1.0,250.0,-2.0,0,6532.090017750827,False,0.75,0.8544520547945206,0.0,0.7692307692307693,276.9230769230769,276.9230769230769,
1387,14794666.7,50,141.6,-6.0,2810.0,5750.0,1e-08,0.8,1.0,250.0,-2.0,0,6495.983374362961,False,0.84375,0.9091703056768559,0.0,0.9523809523809523,342.85714285714283,342.85714285714283,
1407,15008000.0,51,152.7,-2.8,4690.0,4030.0,1e-08,0.8,1.0,250.0,-2.0,0,4155.309856075717,False,0.9230769230769231,0.9365384615384615,0.038461538461538464,1.0,360.0,360.0,
1437,15328000.0,52,166.8,6.0,5650.0,830.0,1e-08,0.8,1.0,250.0,-2.0,0,819.3900170248597,True,0.453125,0.5080645161290323,0.015625,0.44,158.4,129.6,
1443,15392000.0,53,161.7,-6.0,10430.0,5350.0,1e-08,0.8,1.0,250.0,-2.0,0,6897.4922979297335,False,1.0,0.9625,0.5178571428571429,1.0,360.0,360.0,
1450,15466666.7,54,102.0,2.2,8130.0,3750.0,1e-08,0.8,1.0,250.0,-2.0,0,4253.398641086913,False,1.0,0.9185393258426966,1.0,0.9285714285714286,334.2857142857143,334.2857142857143,
1453,15498666.7,55,92.1,-6.0,5530.0,4070.0,1e-08,0.8,1.0,250.0,-2.0,0,4015.29575498493,False,1.0,0.9838129496402878,0.0,1.0,360.0,360.0,
